Yellow Line Rockridge to Antioch,,,,,,,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 19,Monitor 20,Monitor 20
Color,Station,N/S,Category,Station (U/A),Tunnel,Date,VOC (ppm),VOC (ppm),AQS,AQS,Temperature (C),Temperature (C),Humidity,Humidity,Pressure (mbar),Pressure (mbar),PM1 (ug/m3),PM1 (ug/m3),PM2.5 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),PM10 (ug/m3),Latitude,Longitude,Latitude,Longitude
yellow,Orinda,Northbound,arrived,Aboveground,N/A,2024-10-25 16:54:00,0.131,0.131,92,92,24,24,27,27,999.31,999.31,1,1,2,2,4,4,,,,
yellow,Between Stations,Northbound,train,Between Stations,Tunnel,2024-10-25 16:53:00,0.13,0.13,92,92,24,24,33,33,998.5,998.5,1,1,2,2,3,3,,,,
yellow,Between Stations,Northbound,train,Between Stations,Tunnel,2024-10-25 16:52:00,0.127,0.127,92,92,24,24,35,35,996.04,996.04,1,1,2,2,3,3,,,,
yellow,Between Stations,Northbound,train,Between Stations,Tunnel,2024-10-25 16:51:00,0.124,0.124,92,92,24,24,35,35,993.41,993.41,1,1,2,2,3,3,,,,
yellow,Between Stations,Northbound,train,Between Stations,Tunnel,2024-10-25 16:50:00,0.121,0.121,92,92,24,24,32,32,990.82,990.82,1,1,2,2,3,3,,,,
yellow,Between Stations,Northbound,train,Between Stations,Tunnel,2024-10-25 16:49:00,0.119,0.119,92,92,24,24,30,30,1001.26,1001.26,1,1,2,2,3,3,,,,
yellow,Between Stations,Northbound,train,Between Stations,Tunnel,2024-10-25 16:48:00,0.118,0.118,92,92,24,24,29,29,1009,1009,1,1,2,2,4,4,,,,
yellow,Rockridge,Northbound,left,Aboveground,N/A,2024-10-25 16:47:00,0.119,0.119,92,92,23,23,31,31,1010.25,1010.25,3,3,5,5,6,6,,,,
yellow,Rockridge,Northbound,wait,Aboveground,N/A,2024-10-25 16:46:00,0.121,0.121,92,92,22,22,32,32,1010.22,1010.22,3,3,4,4,6,6,,,,
yellow,Rockridge,Northbound,wait,Aboveground,N/A,2024-10-25 16:45:00,0.124,0.124,92,92,22,22,33,33,1010.23,1010.23,2,2,4,4,6,6,,,,
yellow,Rockridge,Northbound,wait,Aboveground,N/A,2024-10-25 16:44:00,0.127,0.127,92,92,21,21,36,36,1010.19,1010.19,5,5,7,7,8,8,,,,
yellow,Rockridge,Northbound,wait,Aboveground,N/A,2024-10-25 16:43:00,0.108,0.108,93,93,21,21,39,39,1010.1,1010.1,2.5,2.5,4,4,5.3,5.3,37.84453284,-122.2517345,37.84453284,-122.2517345
yellow,Rockridge,Northbound,wait,Aboveground,N/A,2024-10-25 16:42:00,0.132,0.132,92,92,21,21,35,35,1010.21,1010.21,2,2,4,4,5,5,,,,
yellow,Rockridge,Northbound,wait,Aboveground,N/A,2024-10-25 16:41:00,0.132,0.132,92,92,21,21,35,35,1010.21,1010.21,2,2,4,4,5,5,,,,
yellow,Rockridge,Northbound,wait,Aboveground,N/A,2024-10-25 16:40:00,0.136,0.136,91,91,21,21,34,34,1010.25,1010.25,2,2,4,4,5,5,,,,
yellow,Rockridge,Northbound,wait,Aboveground,N/A,2024-10-25 16:39:00,0.14,0.14,91,91,20,20,35,35,1010.26,1010.26,2,2,3,3,5,5,,,,
yellow,Rockridge,Northbound,arrived,Aboveground,N/A,2024-10-25 16:38:00,0.144,0.144,91,91,20,20,36,36,1010.58,1010.58,2,2,4,4,5,5,,,,
