Red Line Downtown Berkeley to 24th Street,,,,,,,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 19,Monitor 20,Monitor 20
Color,Station,N/S,Category,Station (U/A),Tunnel,Date,VOC (ppm),VOC (ppm),AQS,AQS,Temperature (C),Temperature (C),Humidity,Humidity,Pressure (mbar),Pressure (mbar),PM1 (ug/m3),PM1 (ug/m3),PM2.5 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),PM10 (ug/m3),Latitude,Longitude,Latitude,Longitude
red,Ashby,Southbound,wait,Underground,N/A,2024-10-22 17:24:00,0.105,0.022,84,89,21.9,24,45,39,1016.8,1017.4,8.1,6.3,15.5,11.8,22.8,17.6,37.8430408,-122.270174,,
red,Ashby,Southbound,wait,Underground,N/A,2024-10-22 17:23:00,0.217,0.115,84,87,22,24,44,41,1017.1,1017.3,8.1,8,14.8,13.7,22.5,19.2,37.8430408,-122.270174,,
red,Ashby,Southbound,wait,Underground,N/A,2024-10-22 17:22:00,1.093,0.259,59,84,21.9,24,44,40,1016.8,1017.7,8.5,8.1,15.1,13.9,21.6,19.9,37.8430408,-122.270174,,
red,Ashby,Southbound,wait,Underground,N/A,2024-10-22 17:21:00,0.01,0,86,87,21.9,24,45,40,1016.8,1017.5,7.4,7.8,13.2,13.4,19.5,19.2,37.8430408,-122.270174,,
red,Ashby,Southbound,arrived,Underground,N/A,2024-10-22 17:20:00,0.01,0,95,88,21.9,24,37,39,1016.5,1017.6,1.5,7.1,3.8,12.6,6.1,18.3,37.8430408,-122.270174,,
red,Between Stations,Southbound,train,Between Stations,Tunnel,2024-10-22 17:19:00,0.01,0,94,97,22,24,39,36,1012.8,1016.7,2.4,1.2,5.4,3.2,8.4,5.4,37.8667219,-122.2793895,,
red,Downtown Berkeley,Southbound,left,Underground,N/A,2024-10-22 17:18:00,0.01,0,83,97,22.3,24,44,35,1014.8,1013.6,9.1,1.5,16.7,3.7,25.5,6,37.8667219,-122.2793895,,
red,Downtown Berkeley,Southbound,wait,Underground,N/A,2024-10-22 17:17:00,0.01,0,81,85,22.5,24,43,40,1014.8,1015.5,10.6,8.1,18.4,15.3,27.4,22.7,37.8667219,-122.2793895,37.87153221,-122.2729718
red,Downtown Berkeley,Southbound,wait,Underground,N/A,2024-10-22 17:16:00,0.01,0,82,82,22.6,24,43,42,1014.8,1015.4,9.8,10.4,17.5,18.4,26,26.5,37.8667219,-122.2793895,,
red,Downtown Berkeley,Southbound,wait,Underground,N/A,2024-10-22 17:15:00,0.01,0,84,86,22.8,24,45,43,1014.9,1015.3,8.2,8.3,15.5,14.7,23.4,22.2,37.8667219,-122.2793895,,
red,Downtown Berkeley,Southbound,wait,Underground,N/A,2024-10-22 17:14:00,0.01,0,82,86,22.9,25,43,39,1014.7,1015.4,8.4,8.1,16.9,14.1,25.6,20.5,37.8667219,-122.2793895,,
red,Downtown Berkeley,Southbound,wait,Underground,N/A,2024-10-22 17:13:00,0.01,0,78,86,23.3,25,42,38,1014.8,1015.4,11.5,8.6,22.1,14.7,34.1,21.6,37.868732,-122.2669838,,
red,Downtown Berkeley,Southbound,wait,Underground,N/A,2024-10-22 17:12:00,0.01,0,77,85,23.8,25,41,38,1014.8,1015.5,10.9,8.7,22.9,15.4,36.2,22.3,37.8686236,-122.2673383,37.87137894,-122.2724671
red,Downtown Berkeley,Southbound,wait,Underground,N/A,2024-10-22 17:11:00,0.01,0.005,98,84,23.9,25,41,42,1014.8,1015.3,1,8.9,1,16.4,2,24.6,37.8705326,-122.2682272,37.86999678,-122.2680892
red,Downtown Berkeley,Southbound,wait,Underground,N/A,2024-10-22 17:10:00,0.01,0,75,84,24,25,40,41,1014.8,1015.4,12.7,7.9,25.9,15.7,41.2,24.1,37.8705372,-122.2682286,37.86999678,-122.2680892
red,Downtown Berkeley,Southbound,wait,Underground,N/A,2024-10-22 17:09:00,0.01,0,98,78,24.2,25,39,40,1014.7,1015.4,1,13.1,1,24.3,2,36.4,37.8707743,-122.2683214,,
red,Downtown Berkeley,Southbound,wait,Underground,N/A,2024-10-22 17:08:00,0.01,0.029,98,84,25,25,40,45,1014.78,1015.3,1,8,1,16,2,25,,,,
red,Downtown Berkeley,Southbound,arrived,Underground,N/A,2024-10-22 17:07:00,0.073,0.029,74,84,25,25,38,45,1014.83,1015.3,13,8,26,16,42,25,37.8695671,-122.2676941,,
