Yellow Line Rockridge to Antioch,,,,,,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 19,Monitor 20,Monitor 20,
Color,Station,N/S,Category,Station (U/A),Tunnel,Date,VOC (ppm),VOC (ppm),AQS,AQS,Temperature (C),Temperature (C),Humidity,Humidity,Pressure (mbar),Pressure (mbar),PM1 (ug/m3),PM1 (ug/m3),PM2.5 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),PM10 (ug/m3),Latitude,Longitude,Latitude,Longitude
yellow,Lafayette,Northbound,wait,Aboveground,2024-10-23 18:20:00,0.11,0.068,93,92,24,22,25,27,1005.21,1006.33,4,6,6,7,7,8,,,,,
yellow,Lafayette,Northbound,wait,Aboveground,2024-10-23 18:19:00,0.113,0.072,93,92,23,22,25,26,1005.2,1006.33,5,6,6,7,7,8,,,,,
yellow,Lafayette,Northbound,wait,Aboveground,2024-10-23 18:18:00,0.116,0.076,92,92,23,23,26,26,1005.19,1006.33,6,6,7,7,8,8,,,,,
yellow,Lafayette,Northbound,wait,Aboveground,2024-10-23 18:17:00,0.119,0.081,92,92,23,23,26,26,1005.18,1006.32,5,6,7,7,8,8,,,,,
yellow,Lafayette,Northbound,wait,Aboveground,2024-10-23 18:16:00,0.125,0.086,92,92,23,23,26,26,1005.22,1006.36,6,6,7,8,9,9,,,,,
yellow,Lafayette,Northbound,wait,Aboveground,2024-10-23 18:15:00,0.08,0.091,92,92,23,23,26,26,1005.1,1006.37,5.9,6,7.2,8,8.5,9,,,,,
yellow,Lafayette,Northbound,wait,Aboveground,2024-10-23 18:14:00,0.128,0.095,92,92,23,23,25,25,1005.18,1006.36,6,6,7,7,8,8,,,,,
yellow,Lafayette,Northbound,wait,Aboveground,2024-10-23 18:13:00,0.131,0.099,92,92,23,24,26,25,1005.22,1006.38,6,6,7,7,8,8,,,,,
yellow,Lafayette,Northbound,wait,Aboveground,2024-10-23 18:12:00,0.133,0.103,92,92,23,24,27,25,1005.25,1006.36,5,6,6,8,7,9,,,,,
yellow,Lafayette,Northbound,arrived,Aboveground,2024-10-23 18:11:00,0.135,0.106,91,93,23,24,27,27,1004.82,1006.39,1,2,2,4,3,5,,,,,
yellow,Between Stations,Northbound,train,Between Stations,2024-10-23 18:10:00,0.137,0.108,91,93,24,24,27,27,1003.16,1004.49,1,1,2,3,3,4,,,,,
yellow,Between Stations,Northbound,train,Between Stations,2024-10-23 18:09:00,0.138,0.11,91,93,24,25,28,26,999.49,1003.48,1,1,2,2,3,3,,,,,
yellow,Between Stations,Northbound,train,Between Stations,2024-10-23 18:08:00,0.139,0.112,91,93,24,25,28,27,999.12,998.73,1,1,2,3,3,4,,,,,
yellow,Between Stations,Northbound,train,Between Stations,2024-10-23 18:07:00,0.14,0.114,91,93,23,25,28,27,1000.98,1001.86,4,2,6,4,7,5,,,,,
yellow,Orinda,Northbound,left,Aboveground,2024-10-23 18:06:00,0.142,0.116,91,93,23,25,27,25,1000.86,1001.97,6,3,8,4,8,5,,,,,
yellow,Orinda,Northbound,wait,Aboveground,2024-10-23 18:05:00,0.145,0.119,90,92,23,25,27,25,1000.86,1001.99,7,2,8,4,9,5,,,,,
yellow,Orinda,Northbound,wait,Aboveground,2024-10-23 18:04:00,0.148,0.122,90,92,23,25,27,25,1000.9,1001.97,7,3,9,5,10,6,,,,,
yellow,Orinda,Northbound,wait,Aboveground,2024-10-23 18:03:00,0.151,0.125,90,92,23,25,27,27,1000.9,1001.92,6,2,7,4,8,5,,,,,
yellow,Orinda,Northbound,wait,Aboveground,2024-10-23 18:02:00,0.155,0.128,90,92,23,25,26,25,1000.86,1001.96,6,5,7,6,8,7,,,,,
yellow,Orinda,Northbound,wait,Aboveground,2024-10-23 18:01:00,0.159,0.131,90,92,23,25,26,28,1000.86,1001.86,6,6,7,8,8,8,,,,,
yellow,Orinda,Northbound,wait,Aboveground,2024-10-23 18:00:00,0.164,0.133,90,92,23,24,26,30,1000.86,1001.82,5,6,7,8,8,8,,,,,
yellow,Orinda,Northbound,wait,Aboveground,2024-10-23 17:59:00,0.168,0.136,89,91,23,24,27,29,1000.86,1001.86,5,6,7,8,8,9,,,,,
yellow,Orinda,Northbound,wait,Aboveground,2024-10-23 17:58:00,0.172,0.14,89,90,23,24,29,27,1000.87,1001.92,6,7,8,9,9,10,,,,,
yellow,Orinda,Northbound,wait,Aboveground,2024-10-23 17:57:00,0.176,0.144,89,91,22,24,34,28,1000.97,1001.88,3,5,4,7,5,8,,,,,
yellow,Orinda,Northbound,arrived,Aboveground,2024-10-23 17:56:00,0.177,0.147,89,91,22,24,37,32,993.56,1000.38,1,2,2,3,3,5,,,,,
yellow,Between Stations,Northbound,train,Between Stations,2024-10-23 17:55:00,0.178,0.148,89,91,22,25,37,30,988.12,988.65,1,2,2,3,3,4,,,,,
yellow,Between Stations,Northbound,train,Between Stations,2024-10-23 17:54:00,0.18,0.15,89,91,22,25,38,31,997.63,993.74,1,2,2,3,3,5,,,,,
yellow,Between Stations,Northbound,train,Between Stations,2024-10-23 17:53:00,0.183,0.122,89,92,21,25,38,25,1008.89,1001.97,2,3,3,5,4,6,,,,,
yellow,Between Stations,Northbound,train,Between Stations,2024-10-23 17:52:00,0.187,0.125,88,92,21,25,40,27,1011.85,1001.92,3,2,4,4,5,5,,,,,
yellow,Rockridge,Northbound,left,Aboveground,2024-10-23 17:51:00,0.192,0.128,88,92,21,25,39,25,1011.81,1001.96,4,5,6,6,7,7,,,,,
yellow,Rockridge,Northbound,wait,Aboveground,2024-10-23 17:50:00,0.197,0.131,88,92,22,25,39,28,1011.84,1001.86,4,6,5,8,6,8,,,,,
yellow,Rockridge,Northbound,wait,Aboveground,2024-10-23 17:49:00,0.202,0.133,87,92,22,24,39,30,1011.81,1001.82,4,6,6,8,7,8,,,,,
yellow,Rockridge,Northbound,wait,Aboveground,2024-10-23 17:48:00,0.207,0.136,87,91,22,24,37,29,1011.82,1001.86,5,6,6,8,7,9,,,,,
yellow,Rockridge,Northbound,wait,Aboveground,2024-10-23 17:47:00,0.212,0.14,87,90,23,24,36,27,1011.83,1001.92,4,7,6,9,7,10,,,,,
yellow,Rockridge,Northbound,wait,Aboveground,2024-10-23 17:46:00,0.216,0.144,87,91,23,24,37,28,1011.83,1001.88,5,5,6,7,7,8,,,,,
yellow,Rockridge,Northbound,wait,Aboveground,2024-10-23 17:45:00,0.22,0.147,86,91,23,24,37,32,1011.83,1000.38,4,2,6,3,7,5,,,,,
yellow,Rockridge,Northbound,wait,Aboveground,2024-10-23 17:44:00,0.224,0.148,86,91,23,25,36,30,1011.84,988.65,4,2,5,3,7,4,,,,,
yellow,Rockridge,Northbound,wait,Aboveground,2024-10-23 17:43:00,0.228,0.15,86,91,24,25,35,31,1011.85,993.74,4,2,6,3,7,5,,,,,
yellow,Rockridge,Northbound,wait,Aboveground,2024-10-23 17:42:00,0.232,0.152,86,90,24,25,34,31,1011.81,1004.21,4,2,5,3,6,5,,,,,
yellow,Rockridge,Northbound,arrived,Aboveground,2024-10-23 17:41:00,0.236,0.154,85,90,24,25,33,32,1012.13,1012.14,4,2,6,4,7,5,,,,,
