Red Line Downtown Berkeley to 24th Street,,,,,,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 20,Monitor 19,Monitor 19,Monitor 20,Monitor 20
Color,Station,N/S,Category,Station (U/A),Date,VOC (ppm),VOC (ppm),AQS,AQS,Temperature (C),Temperature (C),Humidity,Humidity,Pressure (mbar),Pressure (mbar),PM1 (ug/m3),PM1 (ug/m3),PM2.5_19 (ug/m3),PM2.5_20 (ug/m3),PM10 (ug/m3),PM10 (ug/m3),Latitude,Longitude,Latitude,Longitude
red,Between Stations,Southbound,train,Between Stations,2024-10-24 17:12:00,0.124,0.093,92,94,23,22,27,27,1010.4,1011.64,1.4,1,2.8,1,4.1,2,37.8289591,-122.2671893,,
red,MacArthur,Southbound,left,Aboveground,2024-10-24 17:11:00,0.107,0.093,93,94,23.1,22,25,27,1010.4,1011.37,1,1,1,2,2,4,37.8700845,-122.2684017,,
red,MacArthur,Southbound,wait,Aboveground,2024-10-24 17:10:00,0.109,0.095,93,94,23.2,22,27,26,1010.4,1011.37,1.7,2,3.1,3,4.2,4,37.8279563,-122.2676703,,
red,MacArthur,Southbound,wait,Aboveground,2024-10-24 17:09:00,0.116,0.097,93,94,23.2,22,27,26,1010.5,1011.39,1.5,2,3.2,3,4.2,4,37.8287151,-122.2677515,,
red,MacArthur,Southbound,wait,Aboveground,2024-10-24 17:08:00,0.116,0.099,93,94,23.1,23,26,25,1010.5,1011.45,1.8,1,3.5,3,4.5,4,37.8287151,-122.2677515,,
red,MacArthur,Southbound,wait,Aboveground,2024-10-24 17:07:00,0.132,0.101,92,93,22.9,23,29,26,1010.5,1011.44,1.6,2,3,3,4.4,4,37.8287151,-122.2677515,,
red,MacArthur,Southbound,wait,Aboveground,2024-10-24 17:06:00,0.119,0.103,92,93,22.6,22,28,28,1010.5,1011.44,2.2,2,3.9,3,5.4,4,37.8286892,-122.2660435,,
red,MacArthur,Southbound,arrived,Aboveground,2024-10-24 17:05:00,0.12,0.105,92,93,22.4,22,30,28,1010.5,1011.46,1.9,2,3.9,3,5.2,5,37.8286856,-122.2663456,,
red,Between Stations,Southbound,train,Between Stations,2024-10-24 17:04:00,0.128,0.107,92,93,22.4,22,31,29,1010.8,1011.45,4.8,3,7.8,5,10.7,7,37.8527323,-122.2715918,,
red,Between Stations,Southbound,train,Between Stations,2024-10-24 17:03:00,0.129,0.108,92,92,22.4,22,31,31,1010.3,1011.48,4.7,5,7.4,7,10.4,9,37.8527323,-122.2715918,,
red,Between Stations,Southbound,train,Between Stations,2024-10-24 17:02:00,0.13,0.109,90,92,22.4,22,32,32,1010.5,1011.02,6.2,5,9.7,8,12.9,10,37.8527323,-122.2715918,,
red,Between Stations,Southbound,train,Between Stations,2024-10-24 17:01:00,0.126,0.11,89,90,22.5,22,31,32,1010.1,1011.14,7.3,7,10.4,10,13.3,13,37.8527323,-122.2715918,,
red,Between Stations,Southbound,train,Between Stations,2024-10-24 17:00:00,0.108,0.111,93,91,22.9,22,27,31,1010.8,1011.88,3.9,6,5.9,9,7.7,11,37.8527323,-122.2715918,,
red,Ashby,Southbound,left,Underground,2024-10-24 16:59:00,0.116,0.113,93,93,23.1,22,27,29,1011,1011.95,2.4,1,4.3,3,6,4,37.8527323,-122.2715918,,
red,Ashby,Southbound,wait,Underground,2024-10-24 16:58:00,0.143,0.116,91,93,23.2,22,29,29,1010.9,1011.81,2.2,2,4.2,4,5.7,5,37.8527323,-122.2715918,,
red,Ashby,Southbound,wait,Underground,2024-10-24 16:57:00,0.123,0.119,92,92,22.9,22,29,29,1010.8,1011.79,1.8,3,3.7,4,5,6,37.8527323,-122.2715918,,
red,Ashby,Southbound,wait,Underground,2024-10-24 16:56:00,0.128,0.122,92,92,22.7,22,29,28,1010.9,1011.82,2.3,3,4,5,5.9,6,37.8527323,-122.2715918,,
red,Ashby,Southbound,wait,Underground,2024-10-24 16:55:00,0.115,0.125,93,92,22.5,22,29,29,1010.9,1011.83,2.8,3,4.9,5,6.7,7,37.8527323,-122.2715918,,
red,Ashby,Southbound,wait,Underground,2024-10-24 16:54:00,0.109,0.128,92,92,22.5,22,27,29,1010.9,1011.84,4.2,4,7.2,6,10.1,8,37.8556292,-122.2708829,,
red,Ashby,Southbound,wait,Underground,2024-10-24 16:53:00,0.111,0.131,93,92,22.6,22,28,28,1010.9,1011.84,3.1,4,5.7,7,8.8,9,37.853574,-122.2711979,,
red,Ashby,Southbound,wait,Underground,2024-10-24 16:52:00,0.131,0.134,88,91,22.5,22,29,28,1010.7,1011.73,6.7,5,11.8,9,17.4,13,37.853574,-122.2711979,,
red,Ashby,Southbound,wait,Underground,2024-10-24 16:51:00,0.13,0.137,84,87,22.7,23,30,30,1010.9,1011.72,8.6,8,15.4,13,23.1,18,37.853574,-122.2711979,,
red,Ashby,Southbound,wait,Underground,2024-10-24 16:50:00,0.129,0.14,88,88,22.7,23,29,30,1010.9,1011.88,6.1,7,11.4,12,17,17,37.8535316,-122.2712178,,
red,Ashby,Southbound,wait,Underground,2024-10-24 16:49:00,0.137,0.143,91,89,22.7,23,30,30,1010.9,1011.8,1,6,1,11,2,16,37.8700845,-122.2684017,,
red,Ashby,Southbound,arrived,Underground,2024-10-24 16:48:00,0.138,0.146,88,88,22.7,23,29,30,1010.9,1011.67,5.8,7,11.4,12,17.7,18,37.8667219,-122.2793895,,
red,Between Stations,Southbound,train,Between Stations,2024-10-24 16:47:00,0.142,0.149,91,91,22.7,23,28,27,1007.8,1011.3,2,2,5.2,5,7.9,8,37.8667219,-122.2793895,,
red,Between Stations,Southbound,train,Between Stations,2024-10-24 16:46:00,0.136,0.153,90,90,22.7,23,29,26,1010,1008.86,3.9,2,8.7,5,13.5,8,37.8667219,-122.2793895,,
red,Downtown Berkeley,Southbound,left,Underground,2024-10-24 16:45:00,0.134,0.158,70,76,22.9,23,26,27,1008.9,1010,17,13,33,25,51.1,38,37.8700845,-122.2684017,,
red,Downtown Berkeley,Southbound,wait,Underground,2024-10-24 16:44:00,0.136,0.162,91,77,22.9,23,27,28,1008.9,1009.82,1,12,1,23,2,36,37.8699732,-122.2680677,,
red,Downtown Berkeley,Southbound,wait,Underground,2024-10-24 16:43:00,0.132,0.166,66,68,23,23,28,28,1009,1009.91,19.5,18,38.5,35,60.2,56,37.8700845,-122.2684017,,
red,Downtown Berkeley,Southbound,wait,Underground,2024-10-24 16:42:00,0.139,0.17,68,69,23.2,23,27,28,1008.9,1009.82,18.7,18,36,35,55.9,54,37.8705902,-122.2682417,,
red,Downtown Berkeley,Southbound,wait,Underground,2024-10-24 16:41:00,0.146,0.174,73,72,23.2,23,27,28,1008.9,1009.82,16.1,17,29.7,32,44.8,48,37.8699732,-122.2680677,,
red,Downtown Berkeley,Southbound,wait,Underground,2024-10-24 16:40:00,0.15,0.103,91,77,23,23.1,28,28,1009.06,1009.9,6,13.7,8,23.9,9,34.7,,,37.8705881,-122.2682316
red,Downtown Berkeley,Southbound,wait,Underground,2024-10-24 16:39:00,0.285,0.103,77,93,23,23.2,28,28,1009.07,1009.9,12,,23,,36,,37.8701234,-122.2683893,37.8722417,-122.268288
red,Downtown Berkeley,Southbound,wait,Underground,2024-10-24 16:38:00,0.292,0.114,73,76,23,23.3,27,29,1009.02,1009.9,14,14.3,28,24.6,44,35.7,37.8701234,-122.2683893,37.8705881,-122.2682316
red,Downtown Berkeley,Southbound,wait,Underground,2024-10-24 16:37:00,0.299,0.117,74,77,24,23.5,27,28,1009.1,1010,15,14,28,23.2,43,33.7,37.8701234,-122.2683893,37.8705881,-122.2682316
red,Downtown Berkeley,Southbound,wait,Underground,2024-10-24 16:36:00,0.306,0.133,78,81,24,23.7,26,28,1009.14,1009.9,12,11.8,22,18.8,32,26,,,37.8700845,-122.2684017
red,Downtown Berkeley,Southbound,arrived,Underground,2024-10-24 16:35:00,0.313,0.129,81,81,25,24.4,26,27,1009.11,1010,10,12.5,18,18.3,26,24.8,,,37.8705881,-122.2682316
